"artist","total_plays_2018","rank_2018","total_plays_2019","rank_2019","total_plays_2020","rank_2020","total_plays_2021","rank_2021","total_plays_2022","rank_2022"
"daft punk",8,408,4,599,3,1021,4,1081,2,1439
"daft punk (deadmau5 remix)",1,1260,,,,,,,,
"daisy the great",1,1260,,,,,,,,
"dalriada",3,679,2,855,1,1982,,,,
"damon albarn",80,75,53,117,18,333,72,96,102,41
"dan the automator",1,1260,1,1301,,,,,,
"dandy warhols",44,129,19,260,21,287,,,,
"daniel ellsworth & the great lakes",5,507,3,685,,,,,,
"daniel pemberton",22,222,41,143,5,761,6,887,7,802
"daniele luppi & parquet courts",2,840,,,1,1982,,,30,234
"danielson",2,840,,,,,,,,
"dannic & teamworx",9,390,4,599,4,865,1,2135,,
"danny goffey",1,1260,,,,,,,,
"dappy",1,1260,,,,,,,,
"dario gand / vanessa quinones",1,1260,,,,,,,,
"darrell banks",1,1260,1,1301,,,,,,
"darren porter",1,1260,,,,,,,,
"daughter",2,840,,,,,,,,
"david bowie",203,23,142,35,142,21,168,20,83,68
"david burns, zero mostel, jack gilford, john carradine",1,1260,,,,,,,,
"david byrne",48,124,7,458,16,368,18,381,10,666
"david essex",1,1260,,,,,,,,
"david guetta, sebastian ingrosso & dirty south feat. julie mcknight",3,679,,,,,,,,
"david guetta, sia",1,1260,,,,,,,,
"david hopkins",3,679,4,599,,,,,,
"day wave",2,840,,,,,,,,
"dbsk (동방신기)",2,840,1,1301,,,,,3,1188
"dead can dance",57,107,17,279,15,390,2,1500,43,152
"dead horses",1,1260,,,,,,,,
"dead kennedys",44,129,10,375,5,761,55,136,92,49
"dead letter circus",23,215,1,1301,1,1982,,,,
"dead man's bones",1,1260,,,,,,,,
"dead or alive",3,679,,,,,2,1500,6,854
"deadmau5",1,1260,2,855,,,,,1,2066
"deadmau5 ",1,1260,,,,,,,,
"deastro",1,1260,4,599,2,1292,3,1236,8,750
"death cab for cutie",7,436,7,458,2,1292,6,887,3,1188
"death from above 1979",2,840,4,599,4,865,8,761,7,802
"death machine",2,840,,,,,,,,
"deathboy",3,679,,,,,,,,
"debbie dean",1,1260,1,1301,,,,,,
"decorations",2,840,3,685,,,,,,
"ded rabbit",4,583,3,685,1,1982,,,,
"deep purple",37,146,4,599,4,865,5,979,1,2066
"deerhoof",2,840,,,5,761,2,1500,2,1439
"def leppard",10,362,,,,,,,,
"del amitri",2,840,,,,,,,,
"dem yuut",1,1260,,,,,,,,
"demob happy",3,679,15,303,6,685,9,707,3,1188
"demob happy,the ninth wave",6,463,1,1301,,,,,,
"dentist",2,840,,,,,,,,
"depeche mode",162,36,31,178,21,287,54,138,81,72
"deradoorian",1,1260,,,3,1021,2,1500,2,1439
"dermot kennedy",2,840,,,,,,,,
"derrick hart",2,840,,,,,,,,
"destroyer",3,679,1,1301,5,761,3,1236,4,1038
"detroit cobras",1,1260,,,,,,,,
